Tags per tag position (Median = 2, tags per genomic bp = 0.010)	Fraction of Positions
0	0.000000
1	0.338796
2	0.204766
3	0.150405
4	0.108036
5	0.074007
6	0.048478
7	0.030697
8	0.018404
9	0.011068
10	0.006482
11	0.003752
12	0.002063
13	0.001213
14	0.000738
15	0.000409
16	0.000255
17	0.000158
18	0.000107
19	0.000055
20	0.000038
21	0.000024
22	0.000013
23	0.000014
24	0.000006
25	0.000004
26	0.000002
27	0.000004
28	0.000001
29	0.000000
30	0.000002
31	0.000001
32	0.000000
33	0.000000
34	0.000000
35	0.000000
36	0.000000
37	0.000000
38	0.000000
39	0.000000
40	0.000000
41	0.000000
42	0.000000
43	0.000000
44	0.000000
45	0.000001
