Tag Length (Average tag length = 49.913093)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000003
3	0.000029
4	0.000047
5	0.000055
6	0.000063
7	0.000062
8	0.000067
9	0.000073
10	0.000077
11	0.000071
12	0.000075
13	0.000070
14	0.000076
15	0.000075
16	0.000080
17	0.000078
18	0.000079
19	0.000085
20	0.000078
21	0.000078
22	0.000079
23	0.000079
24	0.000084
25	0.000083
26	0.000076
27	0.000079
28	0.000081
29	0.000079
30	0.000078
31	0.000085
32	0.000080
33	0.000082
34	0.000077
35	0.000074
36	0.000075
37	0.000072
38	0.000069
39	0.000066
40	0.000066
41	0.000065
42	0.000063
43	0.000068
44	0.000142
45	0.000067
46	0.000512
47	0.000008
48	0.002346
49	0.000000
50	0.993942
