"","seqnames","start","end","width","strand","Conc","Conc_none","Conc_Estrogen","Fold","p.value","FDR"
"1","chr16",77635377,77639410,4034,"*",6.01,6.96,2.17,4.79,2.28e-24,2.71e-20
"2","chr15",99291471,99294784,3314,"*",6.2,3.95,7.04,-3.1,9.02e-20,5.35e-16
"3","chr5",172879323,172882864,3542,"*",6.27,-0.23,7.26,-7.49,7.16e-18,2.83e-14
"4","chr20",45973336,45975338,2003,"*",5.98,-0.23,6.97,-7.2,3.13e-16,9.26e-13
"5","chr6",125522158,125527038,4881,"*",5.66,-0.23,6.65,-6.88,7.58e-15,1.8e-11
"6","chr9",114773559,114775662,2104,"*",5.05,1.66,5.98,-4.32,1.02e-14,2.02e-11
"7","chr8",22595814,22598677,2864,"*",5.11,1.33,6.06,-4.73,1.37e-14,2.33e-11
"8","chr20",52389371,52391503,2133,"*",5.75,6.74,-0.28,7.02,7.78e-14,1.15e-10
"9","chr17",59307764,59309422,1659,"*",5.48,6.47,-0.28,6.74,1.44e-13,1.89e-10
"10","chr16",85338704,85340520,1817,"*",4.93,1.26,5.87,-4.61,1.84e-13,2.18e-10
"11","chr22",37583325,37586165,2841,"*",6.18,4.74,6.89,-2.14,6.41e-13,6.9e-10
"12","chr15",89662650,89665274,2625,"*",4.74,1.33,5.67,-4.34,1e-11,9.88e-09
"13","chr5",19733018,19734821,1804,"*",4.62,0.97,5.57,-4.59,1.15e-11,1.05e-08
"14","chr10",104469674,104472182,2509,"*",5,2.75,5.84,-3.09,1.94e-11,1.65e-08
"15","chr5",172898649,172900718,2070,"*",4.72,-0.23,5.7,-5.93,7.99e-11,6.31e-08
"16","chr16",17067354,17069455,2102,"*",4.51,0.25,5.47,-5.23,1.28e-10,9.46e-08
"17","chr8",102478585,102480210,1626,"*",4.68,-0.23,5.66,-5.89,1.66e-10,1.16e-07
"18","chr20",47426974,47430689,3716,"*",6.75,7.37,5.64,1.73,2.2e-10,1.45e-07
"19","chr3",150473289,150475794,2506,"*",4.79,2.03,5.67,-3.64,2.37e-10,1.48e-07
"20","chr2",43646532,43648486,1955,"*",4.34,5.29,0.52,4.77,4.28e-10,2.54e-07
"21","chr20",50448853,50451114,2262,"*",4.55,5.53,-0.28,5.8,4.5e-10,2.54e-07
"22","chr8",91782512,91784323,1812,"*",4.33,5.27,0.76,4.5,4.96e-10,2.67e-07
"23","chr20",45955098,45956918,1821,"*",4.84,5.82,-0.28,6.09,7e-10,3.61e-07
"24","chr10",128606415,128607604,1190,"*",4.3,0.6,5.25,-4.64,8.3e-10,4.1e-07
"25","chr13",46933271,46935176,1906,"*",4.55,-0.23,5.52,-5.75,1.19e-09,5.34e-07
"26","chr2",45979316,45981940,2625,"*",4.43,-0.23,5.4,-5.63,1.21e-09,5.34e-07
"27","chr2",44110265,44114193,3929,"*",4.49,5.46,-0.28,5.74,1.22e-09,5.34e-07
"28","chr11",78769746,78772335,2590,"*",4.55,1.74,5.44,-3.7,2.42e-09,1.03e-06
"29","chr16",23551069,23553817,2749,"*",4.52,-0.23,5.5,-5.73,2.56e-09,1.05e-06
"30","chr5",385925,388436,2512,"*",4.31,5.28,-0.28,5.56,2.83e-09,1.12e-06
"31","chr6",15221379,15223961,2583,"*",4.64,1.91,5.53,-3.61,4.42e-09,1.69e-06
"32","chr11",35386913,35388839,1927,"*",4.19,0.25,5.15,-4.9,5.85e-09,2.17e-06
"33","chr4",8011448,8012682,1235,"*",4.12,0.82,5.04,-4.22,7.1e-09,2.55e-06
"34","chr2",75123671,75125723,2053,"*",5.21,3.57,5.96,-2.39,8.24e-09,2.87e-06
"35","chr22",29211349,29217018,5670,"*",7.63,6.91,8.11,-1.2,8.89e-09,3.01e-06
"36","chr7",101644904,101648411,3508,"*",4.19,-0.23,5.15,-5.38,1.16e-08,3.8e-06
"37","chr20",47480844,47482047,1204,"*",4.28,-0.23,5.25,-5.48,1.87e-08,5.99e-06
"38","chr16",78082457,78086159,3703,"*",6.6,7.25,5.38,1.88,1.92e-08,6e-06
"39","chr9",130808996,130810504,1509,"*",4.09,1.12,5,-3.88,2.1e-08,6.37e-06
"40","chr5",172961003,172964124,3122,"*",6.45,5.51,7.02,-1.52,2.56e-08,7.59e-06
"41","chr11",66829453,66831347,1895,"*",4.11,-0.23,5.07,-5.3,2.62e-08,7.59e-06
"42","chr15",91973238,91975766,2529,"*",4.89,5.71,2.75,2.96,2.7e-08,7.62e-06
"43","chr4",68792409,68794159,1751,"*",4.14,-0.23,5.11,-5.34,3.06e-08,8.15e-06
"44","chr6",106582213,106583717,1505,"*",4.13,1.05,5.05,-4,3.07e-08,8.15e-06
"45","chr2",44107426,44109943,2518,"*",4.11,5.08,-0.28,5.36,3.09e-08,8.15e-06
"46","chr1",169749093,169751293,2201,"*",4.07,5.03,-0.28,5.31,3.28e-08,8.45e-06
"47","chr17",39662478,39664644,2167,"*",4.16,-0.23,5.13,-5.36,3.65e-08,9.2e-06
"48","chr9",4863987,4867029,3043,"*",4.19,1.33,5.08,-3.75,3.73e-08,9.22e-06
"49","chr6",135531735,135533831,2097,"*",4.04,-0.23,5,-5.23,4.42e-08,1.07e-05
"50","chrX",100705298,100706493,1196,"*",4.33,1.67,5.22,-3.54,5.65e-08,1.34e-05
"51","chr6",152003948,152005994,2047,"*",3.99,4.91,0.76,4.15,6.68e-08,1.55e-05
"52","chr10",50021772,50022809,1038,"*",4.03,1.23,4.92,-3.69,8.72e-08,1.99e-05
"53","chr14",62019937,62021438,1502,"*",3.93,-0.23,4.89,-5.12,9.59e-08,2.14e-05
"54","chr10",44668167,44669799,1633,"*",3.87,0.25,4.81,-4.56,9.73e-08,2.14e-05
"55","chr20",52468535,52469261,727,"*",4.03,5,-0.28,5.27,1.01e-07,2.17e-05
"56","chr20",55333419,55334812,1394,"*",4.33,1.88,5.2,-3.32,1.05e-07,2.23e-05
"57","chr2",218112236,218113302,1067,"*",3.88,-0.23,4.83,-5.06,1.19e-07,2.47e-05
"58","chr19",35808202,35810608,2407,"*",3.88,-0.23,4.84,-5.07,1.22e-07,2.48e-05
"59","chr7",137988259,137989687,1429,"*",4.35,5.19,2.09,3.1,1.31e-07,2.64e-05
"60","chr3",185265392,185268834,3443,"*",3.87,4.82,0.08,4.74,1.46e-07,2.89e-05
"61","chr20",30628116,30629664,1549,"*",4.91,3,5.7,-2.7,2.1e-07,4.08e-05
"62","chr10",95193646,95200026,6381,"*",6.7,5.66,7.31,-1.65,2.37e-07,4.53e-05
"63","chr4",106046452,106048565,2114,"*",5.32,3.99,5.99,-2,2.46e-07,4.63e-05
"64","chr16",86226728,86227571,844,"*",3.79,-0.23,4.75,-4.98,2.81e-07,5.21e-05
"65","chr10",76659218,76660515,1298,"*",4.11,1.82,4.96,-3.14,3e-07,5.46e-05
"66","chr7",100539494,100541041,1548,"*",4.05,4.92,1.55,3.37,4.46e-07,8.02e-05
"67","chr2",43668461,43671000,2540,"*",3.79,4.75,-0.28,5.03,4.74e-07,8.38e-05
"68","chr15",71388494,71389872,1379,"*",4.25,1.92,5.1,-3.18,4.82e-07,8.41e-05
"69","chr9",101448812,101450377,1566,"*",4.49,5.33,2.31,3.02,5.6e-07,9.61e-05
"70","chr7",128074384,128077094,2711,"*",4.47,5.31,2.25,3.06,6.22e-07,0.000105
"71","chr2",232440668,232443578,2911,"*",3.7,0.6,4.62,-4.01,6.62e-07,0.000109
"72","chr13",34216326,34218620,2295,"*",5.73,4.41,6.4,-2,6.64e-07,0.000109
"73","chr12",12739285,12741152,1868,"*",3.8,1.23,4.67,-3.45,7.61e-07,0.000124
"74","chr15",99289923,99290685,763,"*",3.6,-0.23,4.55,-4.78,8.98e-07,0.000144
"75","chr17",63538691,63539831,1141,"*",4.13,1.67,5,-3.32,9.24e-07,0.000146
"76","chr6",33684172,33686117,1946,"*",3.8,1.05,4.69,-3.64,9.48e-07,0.000148
"77","chr15",90323571,90326128,2558,"*",4.34,2.11,5.18,-3.07,1.04e-06,0.000158
"78","chr9",95379846,95381527,1682,"*",3.71,1.05,4.59,-3.54,1.04e-06,0.000158
"79","chr2",237950230,237951057,828,"*",3.58,-0.23,4.53,-4.76,1.18e-06,0.000177
"80","chr3",150454477,150456052,1576,"*",3.68,-0.23,4.63,-4.86,1.27e-06,0.000185
"81","chr15",90370345,90372078,1734,"*",3.62,-0.23,4.57,-4.8,1.27e-06,0.000185
"82","chr16",77970708,77971724,1017,"*",4.53,5.32,2.67,2.65,1.3e-06,0.000187
"83","chr16",83979754,83981646,1893,"*",5.03,1.6,5.96,-4.36,1.34e-06,0.00019
"84","chr6",15064834,15067624,2791,"*",4.13,1.84,4.97,-3.13,1.35e-06,0.00019
"85","chr16",88047134,88048897,1764,"*",5.68,4.59,6.29,-1.7,1.37e-06,0.000191
"86","chr5",142974059,142976148,2090,"*",3.78,4.66,1.15,3.51,1.65e-06,0.000228
"87","chr4",40549795,40551447,1653,"*",4.59,2.72,5.38,-2.66,1.7e-06,0.000229
"88","chr10",63676736,63678502,1767,"*",3.5,0.18,4.42,-4.25,1.7e-06,0.000229
"89","chr8",91654379,91655144,766,"*",3.62,0.75,4.51,-3.76,1.72e-06,0.000229
"90","chr17",16341427,16344075,2649,"*",5.76,4.8,6.34,-1.54,1.75e-06,0.000231
"91","chr10",79623868,79626426,2559,"*",4.32,2.38,5.11,-2.73,1.8e-06,0.000234
"92","chr10",43605607,43607622,2016,"*",3.88,1.33,4.75,-3.42,1.85e-06,0.000239
"93","chr2",43688851,43690260,1410,"*",3.79,4.65,1.39,3.25,1.97e-06,0.000251
"94","chr2",11664454,11665753,1300,"*",3.53,-0.23,4.48,-4.71,2.15e-06,0.000271
"95","chr20",19263679,19265196,1518,"*",4.25,2.21,5.06,-2.85,2.32e-06,0.000289
"96","chr8",91765449,91766932,1484,"*",3.64,-0.23,4.59,-4.82,2.41e-06,0.000298
"97","chr12",123554721,123555781,1061,"*",4.16,2.29,4.94,-2.66,2.47e-06,0.000302
"98","chr8",96107542,96109841,2300,"*",3.64,4.59,-0.28,4.87,2.79e-06,0.000337
"99","chr10",29918386,29920804,2419,"*",4.75,3.21,5.48,-2.28,2.93e-06,0.000349
"100","chr16",33379546,33381841,2296,"*",5.32,5.99,4,1.99,2.94e-06,0.000349
"101","chr15",80970568,80972874,2307,"*",4.6,3,5.34,-2.34,3.08e-06,0.000362
"102","chr11",77866626,77868442,1817,"*",4.39,2.66,5.15,-2.5,3.74e-06,0.000434
"103","chr6",33511914,33514185,2272,"*",4.17,5.01,1.9,3.11,3.87e-06,0.000445
"104","chr11",69068846,69070221,1376,"*",4.4,2.49,5.19,-2.7,4.25e-06,0.000484
"105","chr2",43500084,43501535,1452,"*",3.86,1.51,4.71,-3.2,4.62e-06,0.000522
"106","chr17",55978299,55981725,3427,"*",6.36,5.56,6.88,-1.32,5.32e-06,0.000595
"107","chr5",154448523,154449244,722,"*",3.33,-0.23,4.26,-4.49,5.4e-06,0.000598
"108","chr6",122942730,122943864,1135,"*",3.34,-0.23,4.28,-4.51,5.64e-06,0.000619
"109","chr9",22083664,22085649,1986,"*",3.42,4.32,0.49,3.83,5.79e-06,0.00063
"110","chr8",37455485,37456822,1338,"*",4.46,2.48,5.26,-2.78,5.96e-06,0.000637
"111","chr11",1793583,1794891,1309,"*",4.3,2.43,5.09,-2.65,6.03e-06,0.000637
"112","chr10",127746155,127747108,954,"*",3.47,0.75,4.36,-3.61,6.06e-06,0.000637
