"","1a","1b","2a","2b","3b","3a"
"chr1:10957-11541",1,1,1,1,1,1
"chr1:15453-15802",1,1,1,1,1,1
"chr1:16137-16347",35,16,22,31,18,13
"chr1:18575-18697",1,1,1,1,1,1
"chr1:24717-24870",1,1,1,1,1,1
"chr1:25891-26218",1,1,1,1,1,1
"chr1:29060-29468",1,1,1,1,1,1
"chr1:91215-91663",5,1,3,1,1,1
"chr1:92340-92506",1,1,1,1,1,1
"chr1:104769-105213",33,11,14,34,11,25
"chr1:134440-134661",1,2,1,1,1,1
"chr1:138825-139326",24,4,19,18,6,5
"chr1:140210-140437",1,1,1,1,1,1
"chr1:237543-238023",76,35,57,76,43,64
"chr1:251079-251619",9,2,8,13,5,11
"chr1:320297-320529",1,1,1,1,1,1
"chr1:323698-323938",1,1,1,1,1,1
"chr1:324724-325329",11,1,6,11,2,3
"chr1:328671-328913",1,1,1,1,1,1
"chr1:369428-369683",1,1,1,1,1,1
"chr1:383530-383734",1,1,1,1,1,1
"chr1:388703-389268",1,1,1,1,1,1
"chr1:416471-416925",1,1,1,1,1,1
"chr1:423026-423438",1,1,1,1,1,1
"chr1:437392-438343",1,1,1,1,1,1
"chr1:442021-442139",1,1,1,1,1,1
"chr1:442309-442505",1,1,1,1,1,1
"chr1:455970-456197",1,1,1,1,1,1
"chr1:461653-462237",5,1,3,3,1,1
"chr1:521389-521777",80,48,75,81,46,59
"chr1:522449-522579",4,2,1,5,8,3
"chr1:527571-527835",1,1,1,1,1,1
"chr1:540424-540685",11,5,12,12,5,7
"chr1:544541-546386",66,14,56,48,23,43
"chr1:561061-561570",25,8,22,22,14,13
"chr1:573560-574011",1,1,1,1,1,1
"chr1:601205-601699",33,8,18,43,22,10
"chr1:605945-606159",1,1,1,1,1,1
"chr1:619997-620278",1,1,1,1,1,1
"chr1:660763-661061",1,1,1,1,1,1
"chr1:664269-664822",24,8,20,24,10,16
"chr1:665707-665927",1,1,1,1,1,1
"chr1:669048-669360",1,1,1,1,1,1
"chr1:672491-672737",1,1,1,1,1,1
"chr1:675905-676149",4,1,9,3,3,2
"chr1:713786-714488",134,42,116,125,39,83
"chr1:762281-762418",4,3,6,9,4,5
"chr1:785798-786043",52,24,44,69,43,40
"chr1:793346-793653",37,10,25,43,26,29
"chr1:805061-805598",226,96,208,223,139,137
"chr1:839886-840436",236,111,230,238,130,153
"chr1:848325-848482",46,6,32,29,9,30
"chr1:855036-855301",44,18,49,67,24,20
"chr1:856431-856703",70,22,53,55,22,34
"chr1:858494-858706",48,9,47,25,18,22
"chr1:860229-860612",113,33,73,93,45,65
"chr1:860849-861214",90,33,77,67,38,43
"chr1:873468-873920",220,82,181,195,132,131
"chr1:875625-875851",49,12,50,34,14,20
"chr1:886839-887189",133,46,105,119,64,80
"chr1:911420-911783",105,34,85,78,38,55
"chr1:919353-919955",257,113,256,274,168,197
"chr1:934465-934700",37,11,33,25,8,13
"chr1:936974-937743",268,114,256,269,150,172
"chr1:950789-951078",118,47,98,121,60,67
"chr1:954657-954981",143,45,113,112,55,79
"chr1:968396-968605",41,16,38,39,12,22
"chr1:976073-976266",34,11,31,24,10,27
"chr1:986570-986730",23,6,19,22,6,16
"chr1:989999-990277",54,17,43,54,26,21
"chr1:994499-995123",168,53,138,141,84,101
"chr1:999096-999709",240,120,249,266,160,170
"chr1:1057298-1057920",213,93,230,231,161,157
"chr1:1058654-1058781",18,5,18,24,5,17
"chr1:1142431-1142617",28,11,27,19,6,16
"chr1:1166171-1166321",45,13,36,40,20,18
"chr1:1167632-1167800",27,9,24,20,9,7
"chr1:1182548-1182680",33,9,23,14,6,18
"chr1:1185608-1185926",34,8,37,53,22,20
"chr1:1200501-1200671",27,6,24,25,15,19
"chr1:1219304-1219483",33,9,30,29,9,24
"chr1:1225466-1225977",166,85,175,183,92,137
"chr1:1227207-1227666",185,84,177,189,98,125
"chr1:1235434-1235733",89,33,66,70,32,60
"chr1:1237330-1237649",133,32,112,114,56,62
"chr1:1279912-1280449",177,70,162,171,88,117
"chr1:1280534-1280767",39,6,39,38,11,26
"chr1:1284383-1285465",355,135,278,304,152,195
"chr1:1299703-1299825",28,4,27,18,13,23
"chr1:1307274-1308004",262,119,262,261,146,170
"chr1:1310523-1310776",65,23,59,54,24,44
"chr1:1311763-1311993",51,13,48,24,13,33
"chr1:1334829-1335101",94,37,66,81,38,60
"chr1:1337324-1337701",120,38,82,113,53,67
"chr1:1343183-1343358",19,7,20,26,10,26
"chr1:1365852-1366052",14,9,27,15,12,13
"chr1:1368655-1368805",41,7,34,24,8,21
"chr1:1376213-1376791",265,103,234,257,159,165
"chr1:1376978-1377226",72,28,58,69,23,52
"chr1:1397256-1397449",40,5,33,24,12,22
"chr1:1440159-1440703",184,68,182,181,104,141
"chr1:1440756-1441167",68,20,50,64,34,41
"chr1:1486284-1486858",179,48,170,135,54,111
"chr1:1509280-1509491",52,17,32,49,19,34
"chr1:1533054-1533333",83,25,66,74,30,50
"chr1:1534838-1535119",58,28,47,56,19,39
"chr1:1555495-1555793",97,20,59,60,30,53
"chr1:1580248-1580675",18,7,20,21,15,5
"chr1:1590658-1591047",40,6,30,27,14,9
"chr1:1597125-1597448",111,43,93,96,43,67
"chr1:1610398-1610638",76,17,51,67,18,45
"chr1:1624614-1625094",4,3,4,6,1,1
"chr1:1626463-1626613",1,1,3,2,1,1
"chr1:1643462-1643840",10,5,6,11,5,9
"chr1:1655868-1656400",32,6,34,42,26,13
"chr1:1677680-1677774",13,5,13,14,4,8
"chr1:1677873-1678301",13,6,17,14,8,8
"chr1:1678573-1678786",5,4,4,4,3,4
"chr1:1684716-1685123",147,54,133,113,59,92
"chr1:1690466-1690623",94,9,81,19,13,52
"chr1:1695577-1695999",136,60,98,158,60,93
"chr1:1707448-1707579",16,5,21,26,8,21
"chr1:1709606-1709717",20,5,17,19,12,8
"chr1:1710415-1710738",91,38,73,92,42,51
"chr1:1720439-1720832",129,57,105,117,75,85
"chr1:1727989-1728202",62,16,52,38,25,24
"chr1:1773262-1773428",26,10,5,20,13,26
"chr1:1787152-1787377",65,16,32,50,26,41
"chr1:1790091-1790352",66,15,50,66,27,48
"chr1:1805293-1805475",46,15,24,31,14,20
"chr1:1830710-1830934",63,18,44,58,22,35
"chr1:1837643-1838184",216,98,204,197,143,144
"chr1:1840236-1840877",243,100,224,226,126,145
"chr1:1850413-1850724",79,21,46,53,20,20
"chr1:1875345-1875916",197,86,195,220,102,116
"chr1:1886289-1886642",79,19,71,81,36,45
"chr1:1891308-1891920",242,116,241,240,134,170
"chr1:1974954-1975116",45,13,31,44,17,24
"chr1:1976112-1976706",253,133,222,233,140,154
"chr1:1977837-1978298",221,103,224,236,145,149
"chr1:1980820-1981214",134,38,103,101,57,77
"chr1:1986156-1986363",49,11,43,33,20,24
"chr1:1987450-1987613",25,7,30,23,10,13
"chr1:2040097-2040419",89,29,94,86,35,60
"chr1:2071152-2071795",314,152,288,311,194,227
"chr1:2105623-2106252",251,112,236,255,144,153
"chr1:2126457-2126999",233,88,232,224,123,150
"chr1:2144198-2144497",86,28,60,85,31,52
"chr1:2144552-2144715",36,4,22,26,6,31
"chr1:2160574-2160876",61,11,47,60,20,33
"chr1:2169235-2169397",38,12,29,26,14,23
"chr1:2179931-2180146",57,13,21,39,15,33
"chr1:2207554-2207787",31,8,41,34,10,25
"chr1:2242933-2243241",91,28,74,80,40,64
"chr1:2246441-2247083",269,121,264,267,166,177
"chr1:2305490-2305658",38,13,43,28,10,27
"chr1:2313102-2313680",249,118,244,237,146,167
"chr1:2314008-2314435",136,60,110,146,68,80
"chr1:2338237-2338488",70,19,59,48,30,48
"chr1:2344121-2344324",32,8,18,19,14,18
"chr1:2345633-2346274",225,102,222,236,149,157
"chr1:2361539-2361795",96,22,84,77,33,43
"chr1:2446765-2446889",34,4,20,29,16,22
"chr1:2462511-2462766",52,17,52,38,22,38
"chr1:2470878-2471035",24,11,24,25,10,10
"chr1:2478258-2478563",52,14,49,50,19,29
"chr1:2479386-2479964",222,106,213,237,152,149
"chr1:2486217-2486720",152,63,140,159,75,99
"chr1:2493390-2493696",97,30,78,79,41,54
"chr1:2515349-2515515",39,6,23,23,11,20
"chr1:2530039-2530235",53,11,34,45,9,33
"chr1:2685219-2685970",1,1,1,1,1,1
"chr1:2686709-2687340",1,1,1,1,1,1
"chr1:2688641-2689327",221,90,202,245,125,131
"chr1:2690451-2691195",1,1,2,4,3,2
"chr1:2692933-2693697",2,1,4,3,3,1
"chr1:2703085-2703618",207,99,187,211,112,137
"chr1:2718113-2718600",226,102,214,196,116,144
"chr1:2738427-2739042",245,112,239,249,139,161
"chr1:2778450-2778656",35,20,36,40,14,28
"chr1:2784504-2784698",47,12,37,37,18,24
"chr1:2792518-2792824",95,31,74,72,32,53
"chr1:2829868-2830080",35,16,34,36,27,32
"chr1:2831304-2831608",101,29,88,80,41,64
"chr1:2838517-2839013",210,90,186,206,112,144
"chr1:2862896-2863117",36,15,26,45,18,25
"chr1:2929075-2929420",100,32,89,95,47,58
"chr1:2940689-2940861",53,13,16,35,16,19
"chr1:2982735-2983069",116,38,92,116,43,77
"chr1:2986216-2986985",122,58,113,139,55,57
"chr1:3036497-3036691",32,14,41,26,17,30
"chr1:3200410-3200925",202,86,177,195,134,130
"chr1:3236479-3236862",146,50,89,150,93,108
"chr1:3266365-3266558",60,11,33,46,19,27
"chr1:3279208-3279345",26,4,16,11,5,17
"chr1:3319944-3320284",105,30,78,92,37,41
"chr1:3326667-3327187",209,86,205,212,125,137
"chr1:3330721-3330888",31,13,28,35,11,14
"chr1:3333735-3333969",66,12,35,61,26,35
"chr1:3341198-3341639",193,90,195,194,113,148
"chr1:3347816-3348159",141,65,128,144,75,97
"chr1:3369548-3370223",259,115,253,220,133,184
"chr1:3370738-3371180",157,66,156,130,70,97
"chr1:3371245-3371377",27,8,19,22,8,10
"chr1:3388338-3388810",175,61,143,129,69,110
"chr1:3399112-3399386",117,33,77,93,35,65
"chr1:3400282-3400978",235,105,213,230,126,158
"chr1:3407579-3408551",302,134,302,292,181,196
"chr1:3434778-3435150",174,63,135,168,66,108
"chr1:3447058-3447278",33,14,33,31,8,29
"chr1:3468389-3468566",35,6,33,15,8,24
"chr1:3481724-3482251",204,99,201,223,124,143
"chr1:3503801-3503942",40,10,29,39,15,21
"chr1:3504146-3505214",169,52,166,152,70,96
"chr1:3508134-3508381",42,13,42,39,12,29
"chr1:3531640-3532198",176,72,182,207,111,130
"chr1:3535522-3536020",204,85,187,201,131,127
"chr1:3537692-3538050",94,33,93,106,62,52
"chr1:3542274-3542455",30,12,24,30,18,22
"chr1:3566454-3566739",61,21,44,56,37,45
"chr1:3612121-3612672",229,90,204,227,131,147
"chr1:3619612-3619846",52,17,37,46,14,39
"chr1:3640828-3641401",215,109,214,237,156,140
"chr1:3643901-3644180",95,39,76,83,42,64
"chr1:3692357-3692836",133,56,117,137,64,82
"chr1:3702031-3702337",126,39,116,141,56,92
"chr1:3717983-3718377",65,25,63,73,40,45
"chr1:3744348-3744574",54,7,33,28,11,30
"chr1:3773755-3774060",109,42,102,93,41,79
"chr1:3774167-3774336",24,8,18,24,6,16
"chr1:3786373-3786780",132,27,91,93,53,88
"chr1:3816218-3816391",26,12,20,32,5,20
"chr1:3823815-3824102",98,38,69,82,38,64
"chr1:3827317-3827780",200,91,183,201,111,133
"chr1:4120961-4121143",57,13,33,21,9,32
"chr1:4233273-4233548",88,27,62,65,30,45
"chr1:4377350-4377566",54,10,39,30,16,38
"chr1:4482694-4482845",26,8,30,18,7,17
"chr1:4554680-4554939",96,25,72,77,34,54
"chr1:4615717-4615862",35,10,20,30,15,29
"chr1:4645322-4645616",92,27,63,81,37,60
"chr1:4654402-4654877",169,71,140,156,92,108
"chr1:4687460-4687723",70,22,60,68,28,57
"chr1:4712571-4713108",245,114,229,236,167,164
"chr1:4715061-4715358",44,11,26,36,14,14
"chr1:4716277-4716811",215,90,199,205,119,138
"chr1:4754670-4754922",79,27,62,81,23,50
"chr1:4802173-4802392",48,16,27,42,18,26
"chr1:4838098-4838349",117,45,130,130,86,76
"chr1:4886094-4886503",118,50,82,137,62,87
"chr1:5159769-5159973",79,16,52,63,27,38
"chr1:5179653-5179851",54,19,47,49,28,28
"chr1:5221505-5221723",46,8,36,24,13,27
"chr1:5346297-5346648",99,32,73,86,45,78
"chr1:5400945-5401110",37,7,21,22,12,19
