"","1a","1b","2a","2b","3b","3a"
"chr1:861526-861723",35,8,33,28,9,17
"chr1:867050-867214",27,8,14,30,9,15
"chr1:877210-877462",44,1,30,9,3,21
"chr1:931207-931430",40,8,21,24,12,22
"chr1:1008899-1009957",476,98,454,225,100,306
"chr1:1014794-1015139",98,12,91,21,10,54
"chr1:1060168-1060437",73,6,41,27,9,25
"chr1:1060554-1060926",52,12,49,13,12,23
"chr1:1071968-1072178",37,9,36,14,5,26
"chr1:1172408-1172578",34,3,35,6,1,25
"chr1:1172763-1172944",32,1,26,5,3,21
"chr1:1173491-1173645",31,3,25,8,3,8
"chr1:1226703-1226970",40,8,33,26,9,27
"chr1:1235871-1236102",54,4,34,17,6,29
"chr1:1246114-1246307",29,4,14,6,1,14
"chr1:1279483-1279764",52,9,39,23,11,30
"chr1:1607717-1608479",35,3,41,12,7,20
"chr1:1670655-1671263",28,4,30,8,2,20
"chr1:1691142-1691349",46,11,38,5,3,24
"chr1:1694474-1694636",37,1,27,16,2,17
"chr1:1724937-1725198",86,5,80,18,8,51
"chr1:1790765-1791014",33,5,30,17,2,23
"chr1:1867252-1867388",18,10,14,29,10,17
"chr1:2023201-2023332",22,11,22,27,6,22
"chr1:2036649-2036913",40,6,40,14,7,23
"chr1:2066944-2067154",43,13,32,33,12,25
"chr1:2142391-2142571",41,1,21,3,2,26
"chr1:2174629-2174814",17,1,25,3,8,16
"chr1:2174925-2175100",24,4,22,2,2,7
"chr1:2379378-2379665",40,2,36,4,2,23
"chr1:2457608-2457904",42,23,27,47,20,22
"chr1:2460770-2460945",31,4,27,15,9,11
"chr1:2687999-2688322",14,1,10,9,9,6
"chr1:2727758-2727916",25,4,21,1,3,11
"chr1:2782971-2783296",50,1,42,8,3,29
"chr1:3002436-3002771",56,6,41,17,5,32
"chr1:3049317-3049521",39,6,27,12,8,27
"chr1:3130224-3130581",132,15,111,34,14,82
"chr1:3178096-3178461",95,6,101,6,3,53
"chr1:3254842-3255191",95,8,89,29,10,56
"chr1:3351084-3351225",37,3,30,1,2,19
"chr1:3459622-3459824",32,1,28,9,4,24
"chr1:3470006-3470309",72,6,57,23,12,42
"chr1:3471823-3472159",150,11,117,30,7,92
"chr1:3556822-3557457",375,8,358,25,12,257
"chr1:3568998-3569157",38,2,13,9,2,15
