name	Unique Positions	Total Tags
genome	10154746	14191809.0
fragmentLengthEstimate=105		
peakSizeEstimate=180		
tagsPerBP=0.004531		
averageTagsPerPosition=1.398		
averageTagLength=49.894		
gsizeEstimate=3132345045		
averageFragmentGCcontent=-1.000		
chr1	1003014	1414374.0
chr2	829943	1157116.0
chr3	714446	1004235.0
chr4	660474	921452.0
chr5	598115	832312.0
chr6	549366	765972.0
chr7	515897	717231.0
chr8	533873	742664.0
chr9	376520	523973.0
chr10	401577	556545.0
chr11	415716	580452.0
chr12	454816	632411.0
chr13	252491	350189.0
chr14	396356	555884.0
chr15	259756	362485.0
chr16	294546	411202.0
chr17	364538	518276.0
chr18	225035	311766.0
chr19	247732	349608.0
chr20	256287	357763.0
chr21	148092	206796.0
chr22	99581	137693.0
chrX	520688	726654.0
chrY	1561	2168.0
chr11_gl000202_random	426	650.0
chr17_ctg5_hap1	196	297.0
chr17_gl000203_random	76	104.0
chr17_gl000204_random	269	372.0
chr17_gl000205_random	1565	2222.0
chr17_gl000206_random	7	9.0
chr18_gl000207_random	8	12.0
chr19_gl000208_random	562	803.0
chr19_gl000209_random	123	155.0
chr1_gl000191_random	44	71.0
chr1_gl000192_random	721	1018.0
chr21_gl000210_random	3	4.0
chr4_ctg9_hap1	30	38.0
chr4_gl000193_random	622	910.0
chr4_gl000194_random	459	638.0
chr6_apd_hap1	26	40.0
chr6_cox_hap2	124	161.0
chr6_dbb_hap3	83	109.0
chr6_mann_hap4	103	139.0
chr6_mcf_hap5	18	24.0
chr6_qbl_hap6	30	45.0
chr6_ssto_hap7	123	161.0
chr7_gl000195_random	2103	3235.0
chr8_gl000196_random	6	11.0
chr8_gl000197_random	1	1.0
chr9_gl000198_random	487	703.0
chr9_gl000199_random	518	1051.0
chr9_gl000201_random	3	6.0
chrUn_gl000211	350	486.0
chrUn_gl000212	340	492.0
chrUn_gl000213	39	57.0
chrUn_gl000214	957	1349.0
chrUn_gl000215	7	8.0
chrUn_gl000216	1152	1861.0
chrUn_gl000217	128	169.0
chrUn_gl000218	311	437.0
chrUn_gl000219	1285	1865.0
chrUn_gl000220	15142	24344.0
chrUn_gl000221	44	59.0
chrUn_gl000222	27	36.0
chrUn_gl000223	4	5.0
chrUn_gl000224	946	1300.0
chrUn_gl000225	2382	3596.0
chrUn_gl000226	137	278.0
chrUn_gl000227	13	19.0
chrUn_gl000228	93	137.0
chrUn_gl000229	132	191.0
chrUn_gl000230	128	177.0
chrUn_gl000231	159	206.0
chrUn_gl000232	418	576.0
chrUn_gl000233	81	113.0
chrUn_gl000234	385	533.0
chrUn_gl000235	191	270.0
chrUn_gl000236	2	5.0
chrUn_gl000237	136	185.0
chrUn_gl000238	8	10.0
chrUn_gl000239	6	7.0
chrUn_gl000240	52	82.0
chrUn_gl000241	504	704.0
chrUn_gl000242	1	1.0
chrUn_gl000243	13	14.0
chrUn_gl000244	1	2.0
chrUn_gl000245	1	1.0
chrUn_gl000246	6	10.0
chrUn_gl000247	9	14.0
cmd=makeTagDirectory PDX03/ SLX-15439.D701_D503.HNKNYBBXX.s_6.bwa.homo_sapiens.bam		
