"","seqnames","start","end","width","strand","Conc","Conc_none","Conc_Estrogen","Fold","p.value","FDR"
"1","chr3",61793332,61793901,570,"*",9.74,3.27,10.73,-7.46,7.99e-50,2.06e-45
"2","chr14",65584785,65585612,828,"*",9.47,3.23,10.46,-7.24,1.56e-45,2.02e-41
"3","chr14",69036524,69037324,801,"*",9.77,4.54,10.75,-6.21,4.82e-40,4.15e-36
"4","chr20",49415148,49415767,620,"*",9.16,1.41,10.16,-8.75,3.07e-39,1.98e-35
"5","chr16",83980261,83981058,798,"*",9.36,3.96,10.34,-6.38,1.7e-37,8.2e-34
"6","chr6",15221863,15222659,797,"*",9.66,4.54,10.64,-6.1,1.91e-37,8.2e-34
"7","chr20",52278168,52278890,723,"*",12.08,8.15,13.03,-4.88,2.15e-35,7.93e-32
"8","chr10",5702249,5702480,232,"*",9.27,3.65,10.26,-6.6,4.61e-35,1.49e-31
"9","chr1",199985761,199986411,651,"*",8.77,3.5,9.75,-6.25,5.9e-35,1.69e-31
"10","chr5",132584824,132585823,1000,"*",9.51,4.54,10.49,-5.95,7.42e-35,1.91e-31
"11","chr17",43120387,43121072,686,"*",8.54,2.61,9.53,-6.92,7.74e-34,1.81e-30
"12","chr19",1181421,1182269,849,"*",9.27,4.09,10.25,-6.15,1.06e-33,2.28e-30
"13","chr20",52765446,52766063,618,"*",10.14,5.65,11.11,-5.46,6.63e-33,1.32e-29
"14","chr20",49343808,49344575,768,"*",10.54,6.1,11.51,-5.41,1.85e-32,3.41e-29
"15","chr14",50459515,50460108,594,"*",9.32,3.54,10.31,-6.76,4.8e-32,8.25e-29
"16","chr20",46011218,46011953,736,"*",10.34,6.12,11.31,-5.19,1.59e-31,2.55e-28
"17","chr9",95428007,95428839,833,"*",8.58,3.34,9.56,-6.22,2.91e-31,4.41e-28
"18","chr11",16978122,16978750,629,"*",8.3,3.36,9.28,-5.92,3.38e-31,4.85e-28
"19","chr1",145726294,145727002,709,"*",9.35,4.72,10.32,-5.6,3.68e-31,5e-28
"20","chr14",90978446,90979363,918,"*",9.09,3.99,10.07,-6.08,6.11e-31,7.87e-28
"21","chr8",102516245,102516749,505,"*",8.28,2.22,9.27,-7.05,6.58e-31,8.08e-28
"22","chr14",93483533,93484232,700,"*",9.34,3.97,10.32,-6.35,1.39e-30,1.63e-27
"23","chr20",45973731,45974426,696,"*",10.8,6.21,11.77,-5.56,1.65e-30,1.85e-27
"24","chr13",44682535,44683157,623,"*",8.67,3.83,9.65,-5.82,2.24e-30,2.31e-27
"25","chr21",16959020,16959778,759,"*",8.34,3.18,9.32,-6.14,2.24e-30,2.31e-27
"26","chr13",98945308,98946217,910,"*",8.21,1.59,9.2,-7.61,2.47e-30,2.39e-27
"27","chr5",172899479,172900252,774,"*",9.07,4.67,10.03,-5.36,2.51e-30,2.39e-27
"28","chr5",167742985,167743873,889,"*",9.81,5.3,10.78,-5.47,2.97e-30,2.7e-27
"29","chr14",38035789,38036648,860,"*",8.41,3.47,9.38,-5.91,3.04e-30,2.7e-27
"30","chr1",117050946,117052175,1230,"*",9.27,5.23,10.23,-4.99,3.86e-30,3.32e-27
"31","chr8",102478807,102479386,580,"*",8.44,1.59,9.44,-7.85,7.65e-30,6.36e-27
"32","chr21",46749641,46750818,1178,"*",9.7,5.04,10.67,-5.63,8.65e-30,6.89e-27
"33","chr20",55837989,55838514,526,"*",9.57,-0.2,10.57,-10.77,8.81e-30,6.89e-27
"34","chr12",122186437,122187356,920,"*",9.51,5.37,10.46,-5.1,1.26e-29,9.55e-27
"35","chr4",40550205,40550846,642,"*",8.25,1.15,9.25,-8.09,2.12e-29,1.56e-26
"36","chr6",110875909,110876656,748,"*",9.15,4.6,10.12,-5.52,3.02e-29,2.16e-26
"37","chr18",13539546,13540513,968,"*",8.61,3.93,9.59,-5.66,5.41e-29,3.73e-26
"38","chr1",7507736,7508368,633,"*",8.91,4.25,9.88,-5.62,5.5e-29,3.73e-26
"39","chr2",7157770,7158284,515,"*",7.91,2.13,8.9,-6.77,6.34e-29,4.19e-26
"40","chr16",23551414,23552104,691,"*",9.04,4.75,10,-5.25,6.68e-29,4.21e-26
"41","chr1",181095960,181096556,597,"*",8.73,2.76,9.71,-6.96,6.69e-29,4.21e-26
"42","chr1",202081665,202082596,932,"*",9.96,5.71,10.92,-5.21,7.17e-29,4.4e-26
"43","chr3",193876537,193877243,707,"*",9.27,4.85,10.23,-5.39,7.98e-29,4.78e-26
"44","chr20",47480753,47481807,1055,"*",11.01,7.26,11.96,-4.7,1.21e-28,7.1e-26
"45","chr13",113567692,113568258,567,"*",8.4,3.39,9.38,-5.99,1.75e-28,1e-25
"46","chr9",128223048,128223575,528,"*",7.87,2.37,8.85,-6.48,1.82e-28,1.02e-25
"47","chr16",23149150,23149663,514,"*",7.98,2.62,8.96,-6.34,3.84e-28,2.11e-25
"48","chr12",52542323,52543163,841,"*",9.16,4.25,10.13,-5.88,5.45e-28,2.93e-25
"49","chr9",4866150,4866917,768,"*",8.88,4.69,9.84,-5.15,7.06e-28,3.71e-25
"50","chr6",106582510,106583507,998,"*",9.17,4.08,10.15,-6.07,1.05e-27,5.43e-25
"51","chr8",125503355,125503983,629,"*",7.98,3.28,8.96,-5.68,1.33e-27,6.73e-25
"52","chr1",110493019,110493576,558,"*",8.11,3.39,9.08,-5.69,1.36e-27,6.76e-25
"53","chr20",45959990,45960466,477,"*",8.24,1.88,9.23,-7.35,1.77e-27,8.63e-25
"54","chr12",125214881,125215796,916,"*",7.83,1.43,8.82,-7.39,1.93e-27,9.2e-25
"55","chr4",55708304,55708999,696,"*",7.94,2.75,8.92,-6.17,2.04e-27,9.52e-25
"56","chr3",127803103,127803856,754,"*",8.09,3.26,9.07,-5.8,2.07e-27,9.52e-25
"57","chr5",173017854,173018682,829,"*",8.1,3.17,9.08,-5.9,2.91e-27,1.32e-24
"58","chr11",101206752,101207940,1189,"*",8.27,3.97,9.23,-5.25,4.81e-27,2.14e-24
"59","chr3",188209057,188209741,685,"*",7.82,1.18,8.81,-7.64,5.02e-27,2.2e-24
"60","chr7",101647331,101647932,602,"*",8.69,4.24,9.66,-5.43,6.74e-27,2.9e-24
"61","chr4",140598020,140598696,677,"*",8.41,4.38,9.37,-4.98,8.04e-27,3.4e-24
"62","chr2",228567846,228568858,1013,"*",7.78,2.63,8.76,-6.13,1.01e-26,4.2e-24
"63","chr17",38732219,38732936,718,"*",9.15,5.05,10.1,-5.06,1.11e-26,4.49e-24
"64","chr8",95049551,95050125,575,"*",7.98,0.84,8.98,-8.14,1.11e-26,4.49e-24
"65","chr14",68925618,68926182,565,"*",7.92,3.48,8.88,-5.41,1.2e-26,4.77e-24
"66","chr10",101795110,101795742,633,"*",7.65,1.58,8.64,-7.07,1.26e-26,4.94e-24
"67","chr17",15562690,15563552,863,"*",7.89,3.17,8.86,-5.69,1.3e-26,5.02e-24
"68","chr11",66795029,66795775,747,"*",8.24,3.5,9.21,-5.71,1.98e-26,7.53e-24
"69","chr20",50003922,50004530,609,"*",8.07,1.03,9.06,-8.03,2.11e-26,7.68e-24
"70","chr18",21206970,21207718,749,"*",7.78,2.84,8.76,-5.92,2.13e-26,7.68e-24
"71","chr7",151392039,151392305,267,"*",8.41,3.68,9.38,-5.7,2.14e-26,7.68e-24
"72","chr10",43521746,43522381,636,"*",9.04,4.58,10.01,-5.43,2.15e-26,7.68e-24
"73","chr12",124895055,124895629,575,"*",8.07,1.74,9.06,-7.32,2.17e-26,7.68e-24
"74","chr5",177543148,177543845,698,"*",8.82,4.4,9.79,-5.39,2.25e-26,7.84e-24
"75","chr16",72947125,72947888,764,"*",9.16,5.32,10.1,-4.78,2.3e-26,7.91e-24
