# GREAT version 3.0.0,Species assembly: hg19,"Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included",,,,,,,,,,,
# Ontology, Term Name , Binom Rank , Binom Raw P-Value ,  Binom FDR Q-Val  , Binom Fold Enrichment , Binom Observed Region Hits , Binom Region Set Coverage , Hyper Rank ,  Hyper FDR Q-Val  , Hyper Fold Enrichment , Hyper Observed Gene Hits , Hyper Total Genes , Hyper Gene Set Coverage
MSigDB Pathway,Validated nuclear estrogen receptor alpha network,1,2.32E-32,3.07E-29,2.880694,170,0.02446395,84,0.036131826,1.552315,32,64,0.005506797
MSigDB Pathway,FOXA1 transcription factor network,2,1.01E-23,6.70E-21,2.701291,136,0.01957116,15,0.005751014,1.905113,27,44,0.00464636
MSigDB Pathway,C-MYB transcription factor network,3,2.82E-19,1.24E-16,2.139903,172,0.02475176,4,7.53778E-05,1.847994,50,84,0.008604371
MSigDB Pathway,IGF1 pathway,6,8.59E-18,1.89E-15,2.852724,91,0.01309541,67,0.031034993,1.862777,18,30,0.003097574
MSigDB Pathway,IL2-mediated signaling events,9,1.49E-16,2.19E-14,2.547532,102,0.01467837,21,0.011575124,1.749882,31,55,0.00533471
MSigDB Pathway,SHP2 signaling,10,2.52E-16,3.32E-14,2.252961,128,0.01841992,25,0.013152538,1.712899,32,58,0.005506797
MSigDB Pathway,Glioma,16,1.84E-15,1.52E-13,2.343757,111,0.01597352,78,0.033486945,1.552315,33,66,0.005678885
MSigDB Pathway,IL3-mediated signaling events,17,1.22E-14,9.49E-13,3.474723,55,0.007914808,101,0.044548562,1.83978,16,27,0.002753399
MSigDB Pathway,IL6-mediated signaling events,23,3.79E-14,2.17E-12,2.361381,99,0.01424665,54,0.021514932,1.717454,26,47,0.004474273
MSigDB Pathway,Acute myeloid leukemia,24,7.00E-14,3.85E-12,2.348219,98,0.01410275,18,0.00657695,1.766427,33,58,0.005678885
MSigDB Pathway,Insulin Pathway,32,2.05E-12,8.47E-11,2.300836,90,0.0129515,89,0.039557463,1.655802,24,45,0.004130098
MSigDB Pathway,Mechanism of Gene Regulation by Peroxisome Proliferators via PPARa(alpha),33,2.59E-12,1.04E-10,2.109425,108,0.0155418,50,0.017107884,1.659371,31,58,0.00533471
MSigDB Pathway,Genes involved in NOTCH1 Intracellular Domain Regulates Transcription,35,3.33E-12,1.26E-10,2.100283,108,0.0155418,76,0.030995146,1.693434,24,44,0.004130098
MSigDB Pathway,Notch-mediated HES/HEY network,40,1.04E-11,3.44E-10,2.136115,99,0.01424665,10,0.002037601,1.940393,30,48,0.005162623
MSigDB Pathway,EPO signaling pathway,45,3.47E-11,1.02E-09,2.495373,68,0.009785581,32,0.015378809,1.917565,21,34,0.003613836
MSigDB Pathway,Validated transcriptional targets of TAp63 isoforms,62,5.73E-10,1.22E-08,2.196813,77,0.01108073,65,0.029953602,1.640181,28,53,0.004818448
