"","seqnames","start","end","width","strand","Conc","Conc_none","Conc_Fulvestrant","Fold","p.value","FDR"
"1","chr5",172899513,172900259,747,"*",6.76,7.69,3.27,4.42,5e-49,7.73e-45
"2","chr8",128680736,128681488,753,"*",6.79,7.66,4.23,3.43,9.5e-43,7.34e-39
"3","chr11",78770798,78771650,853,"*",6.84,7.7,4.43,3.27,4.45e-41,2.29e-37
"4","chr1",3556822,3557457,636,"*",6.3,7.26,2.05,5.22,1.46e-40,5.65e-37
"5","chr9",130789013,130789572,560,"*",6.32,7.24,2.96,4.28,1.14e-39,3.51e-36
"6","chr1",199985858,199986426,569,"*",6.31,7.27,2.36,4.91,2.5e-38,6.44e-35
"7","chr3",189560366,189561257,892,"*",6.63,7.5,4.14,3.35,1.3e-37,2.81e-34
"8","chr4",75586798,75587872,1075,"*",6.52,7.47,2.62,4.85,1.46e-37,2.81e-34
"9","chr3",99822673,99823503,831,"*",6.33,7.21,3.66,3.54,6.55e-36,1.13e-32
"10","chr21",41692593,41693417,825,"*",6.47,7.37,3.63,3.74,1.58e-35,2.45e-32
"11","chr12",122186444,122187246,803,"*",6.53,7.4,3.94,3.46,1.02e-34,1.44e-31
"12","chr12",15021778,15022402,625,"*",6.18,7.1,2.84,4.26,1.24e-34,1.6e-31
"13","chr2",11670982,11671580,599,"*",6.34,7.22,3.71,3.5,4.17e-34,4.96e-31
"14","chr1",109788743,109789282,540,"*",6.04,6.99,2.36,4.63,1.73e-33,1.91e-30
"15","chr9",138284238,138284884,647,"*",6.68,7.52,4.39,3.13,9.39e-33,9.67e-30
"16","chr5",66511476,66512261,786,"*",6.34,7.22,3.8,3.42,1.44e-32,1.39e-29
"17","chr21",46747026,46747568,543,"*",6.15,7.05,3.23,3.81,1.71e-32,1.56e-29
"18","chr17",72765784,72766664,881,"*",7.03,7.8,5.27,2.53,5.82e-32,4.99e-29
"19","chr14",22741122,22741767,646,"*",5.94,6.88,2.37,4.51,8.11e-32,6.6e-29
