"","seqnames","start","end","width","strand","Conc","Conc_Fulvestrant","Conc_none","Fold","p.value","FDR"
"1","chr20",46704409,46705132,724,"*",6.51,2.83,7.45,-4.62,5.48e-59,3.61e-55
"2","chr21",41696266,41697120,855,"*",6.17,3.61,7.04,-3.43,4.61e-51,1.27e-47
"3","chr9",111240810,111241733,924,"*",5.92,2.52,6.85,-4.33,5.76e-51,1.27e-47
"4","chr20",58637861,58638547,687,"*",5.84,2.37,6.78,-4.41,3.08e-48,5.07e-45
"5","chr4",75586785,75587888,1104,"*",5.89,0.8,6.87,-6.06,1.77e-46,2.34e-43
"6","chr6",125905594,125906286,693,"*",5.93,2.79,6.85,-4.06,8.14e-46,8.95e-43
"7","chr13",69260129,69261115,987,"*",5.74,2.8,6.64,-3.83,1.03e-45,9.7e-43
"8","chr21",41692643,41693403,761,"*",5.64,1.97,6.58,-4.61,8.25e-45,6.8e-42
"9","chr5",19885062,19885833,772,"*",5.65,2.1,6.59,-4.48,6.62e-43,4.85e-40
"10","chr16",17067567,17068651,1085,"*",5.5,1.94,6.44,-4.5,3.1e-42,2.05e-39
"11","chr20",49343848,49344587,740,"*",6.99,4.95,7.8,-2.84,3.62e-42,2.17e-39
"12","chr8",128680501,128681469,969,"*",5.69,2.16,6.63,-4.46,6.4e-42,3.52e-39
"13","chr14",34250237,34251038,802,"*",5.62,2.62,6.53,-3.91,9.4e-42,4.77e-39
"14","chr2",11671013,11671578,566,"*",5.62,2.29,6.55,-4.26,7.81e-41,3.67e-38
"15","chr2",11672383,11673050,668,"*",6.05,3.56,6.92,-3.36,8.35e-41,3.67e-38
"16","chr20",47480784,47481731,948,"*",6.7,4.8,7.49,-2.7,1.23e-40,4.7e-38
"17","chr10",117424131,117424673,543,"*",5.51,1.53,6.46,-4.93,1.28e-40,4.7e-38
"18","chr11",86487146,86487756,611,"*",5.59,2.65,6.49,-3.83,1.28e-40,4.7e-38
"19","chr2",238467468,238468168,701,"*",5.87,2.82,6.78,-3.96,4.18e-40,1.45e-37
"20","chr8",100917148,100918087,940,"*",5.78,3.07,6.67,-3.59,5.05e-40,1.61e-37
"21","chr6",15221942,15222531,590,"*",5.46,1.62,6.41,-4.79,5.14e-40,1.61e-37
